HR,TIMESTAMP
49,1636961129
79,
70,
75.25,
72.4,
74.5,
76.71,
78.38,
79.89,
81.2,
82.36,
83.33,
84.23,
85,
85.67,
86.31,
86.94,
87.5,
88.42,
89.05,
89.43,
89.64,
90.3,
90.92,
91.4,
91.85,
91.78,
91.71,
91.86,
91.93,
92.16,
92.22,
92.27,
92.26,
92.06,
91.58,
91.14,
90.71,
90.31,
89.93,
89.56,
89.21,
88.88,
88.59,
88.36,
88.15,
87.98,
87.83,
87.67,
87.52,
87.33,
87.12,
86.89,
86.69,
86.49,
86.3,
86.14,
86,
85.88,
85.77,
86.25,
85.72,
86.12,
85.85,
86.08,
85.93,
85.72,
85.52,
85.28,
85.07,
84.82,
84.53,
84.22,
83.88,
83.57,
83.23,
82.9,
82.58,
82.15,
81.82,
81.5,
81.25,
80.82,
80.38,
80.02,
79.67,
79.67,
79.65,
79.52,
79.4,
79.18,
79.05,
78.93,
78.82,
78.8,
78.92,
79.02,
79.1,
79.18,
79.27,
79.33,
79.42,
79.52,
79.63,
79.75,
79.85,
79.95,
80.12,
80.28,
80.45,
80.65,
80.87,
81.08,
81.28,
81.48,
81.65,
81.78,
81.87,
81.87,
81.9,
81.93,
81.97,
82,
82.05,
82.1,
82.12,
82.12,
82.12,
82.12,
82.08,
82.07,
82.07,
82.07,
82.07,
82.03,
81.98,
81.92,
81.85,
81.78,
81.68,
81.65,
81.6,
81.57,
81.53,
81.47,
81.38,
81.17,
80.97,
80.78,
80.6,
80.45,
80.28,
80.1,
79.95,
79.82,
79.72,
79.63,
79.57,
79.5,
79.43,
79.35,
79.22,
79.05,
78.93,
78.77,
78.77,
78.75,
78.67,
78.57,
78.43,
78.33,
78.22,
78.12,
78.03,
77.92,
77.78,
77.67,
77.62,
77.63,
77.62,
77.6,
77.6,
77.6,
77.62,
77.63,
77.65,
77.65,
77.62,
77.58,
77.53,
77.48,
77.48,
77.47,
77.5,
77.53,
77.6,
77.67,
77.7,
77.7,
77.7,
77.68,
77.67,
77.63,
77.6,
77.57,
77.53,
77.5,
77.47,
77.45,
77.47,
77.48,
77.52,
77.55,
77.57,
77.58,
77.58,
77.57,
77.53,
77.5,
77.45,
77.42,
77.42,
77.43,
77.35,
77.3,
77.07,
76.83,
76.58,
76.38,
76.25,
76.1,
75.98,
75.9,
75.82,
75.77,
75.78,
75.8,
75.78,
75.78,
75.78,
75.78,
75.77,
75.77,
75.73,
75.7,
75.68,
75.67,
75.67,
75.67,
75.68,
75.7,
75.68,
75.7,
75.68,
75.67,
75.63,
75.6,
75.58,
75.58,
75.57,
75.55,
75.52,
75.48,
75.45,
75.4,
75.35,
75.28,
75.22,
75.12,
74.98,
74.82,
74.67,
74.53,
74.43,
74.35,
74.33,
74.35,
74.4,
74.45,
74.5,
74.53,
74.47,
74.38,
74.3,
74.2,
74.1,
74.02,
73.97,
73.92,
73.87,
73.82,
73.78,
73.72,
73.62,
73.5,
73.37,
73.25,
73.13,
73.02,
72.92,
72.87,
72.87,
72.9,
73,
73.12,
73.27,
73.43,
73.58,
73.68,
73.68,
73.7,
73.7,
73.68,
73.67,
73.67,
73.67,
73.67,
73.68,
73.7,
73.73,
73.77,
73.8,
73.83,
73.87,
73.9,
73.92,
73.95,
73.98,
74.03,
74.08,
74.08,
74.05,
73.98,
74.1,
74.18,
74.22,
74.23,
74.2,
74.18,
74.18,
74.22,
74.35,
74.5,
74.67,
74.82,
74.95,
75.07,
75.15,
75.2,
75.22,
75.22,
75.22,
75.22,
75.23,
75.27,
75.3,
75.3,
75.28,
75.25,
75.2,
75.12,
75.05,
74.95,
74.82,
74.67,
74.48,
74.3,
74.12,
73.97,
73.9,
73.8,
73.7,
73.6,
73.5,
73.4,
73.3,
73.2,
73.08,
72.95,
72.8,
72.63,
72.47,
72.3,
72.12,
71.97,
71.83,
71.7,
71.57,
71.42,
71.28,
71.22,
71.18,
71.15,
70.92,
70.7,
70.48,
70.25,
70.07,
69.88,
69.7,
69.53,
69.37,
69.2,
69.03,
68.88,
68.75,
68.62,
68.48,
68.35,
68.23,
68.12,
68,
67.88,
67.77,
67.65,
67.52,
67.4,
67.3,
67.25,
67.15,
67.05,
66.9,
66.75,
66.58,
66.42,
66.25,
66.08,
65.93,
65.8,
65.68,
65.58,
65.5,
65.45,
65.4,
65.35,
65.3,
65.25,
65.2,
65.17,
65.13,
65.12,
65.12,
65.12,
65.13,
65.13,
65.13,
65.12,
65.1,
65.1,
65.1,
65.12,
65.13,
65.17,
65.2,
65.23,
65.27,
65.32,
65.35,
65.38,
65.42,
65.43,
65.43,
65.43,
65.43,
65.43,
65.45,
65.47,
65.48,
65.5,
65.52,
65.55,
65.55,
65.55,
65.53,
65.52,
65.53,
65.55,
65.57,
65.55,
65.58,
65.62,
65.65,
65.68,
65.72,
65.75,
65.78,
65.82,
65.87,
65.93,
66.02,
66.13,
66.27,
66.38,
66.5,
66.62,
66.72,
66.8,
66.85,
66.9,
66.95,
67,
67.07,
67.13,
67.2,
67.28,
67.37,
67.48,
67.6,
67.72,
67.83,
67.93,
68.02,
68.08,
68.15,
68.22,
68.28,
68.37,
68.47,
68.55,
68.63,
68.72,
68.83,
68.95,
69.07,
69.18,
69.28,
69.38,
69.48,
69.6,
69.7,
69.77,
69.85,
69.92,
70,
70.08,
70.13,
70.2,
70.28,
70.35,
70.4,
70.47,
70.53,
70.6,
70.67,
70.73,
70.8,
70.85,
70.88,
70.9,
70.9,
70.88,
70.85,
70.82,
70.78,
70.75,
70.75,
70.75,
70.78,
70.82,
70.85,
70.88,
70.9,
70.92,
70.93,
70.93,
70.95,
70.95,
70.95,
70.93,
70.92,
70.88,
70.85,
70.83,
70.82,
70.78,
70.78,
70.78,
70.77,
70.75,
70.72,
70.7,
70.7,
70.67,
70.65,
70.63,
70.63,
70.67,
70.7,
70.73,
70.75,
70.77,
70.8,
70.8,
70.82,
70.82,
70.83,
70.87,
70.88,
70.92,
70.98,
71.05,
71.1,
71.17,
71.32,
71.42,
71.53,
71.67,
71.8,
71.93,
72.07,
72.22,
72.35,
72.47,
72.62,
72.73,
72.82,
72.88,
72.88,
72.85,
72.75,
72.65,
72.57,
72.5,
72.43,
72.35,
72.27,
72.17,
72.07,
71.95,
71.83,
71.72,
71.6,
71.5,
71.4,
71.3,
71.2,
71.1,
71,
70.9,
70.82,
70.73,
70.62,
70.5,
70.37,
70.25,
70.15,
70.02,
69.9,
69.78,
69.67,
69.57,
69.45,
69.38,
69.3,
69.22,
69.13,
69.02,
68.9,
68.77,
68.63,
68.47,
68.32,
68.15,
67.9,
67.68,
67.45,
67.23,
67,
66.77,
66.57,
66.33,
66.13,
65.95,
65.73,
65.55,
65.38,
65.25,
65.18,
65.13,
65.17,
65.2,
65.2,
65.18,
65.17,
65.17,
65.15,
65.17,
65.18,
65.25,
65.32,
65.4,
65.48,
65.55,
65.6,
65.67,
65.72,
65.75,
65.8,
65.85,
65.9,
65.95,
66,
66.08,
66.17,
66.23,
66.28,
66.43,
66.45,
66.47,
66.5,
66.53,
66.57,
66.6,
66.62,
66.65,
66.68,
66.72,
66.77,
66.82,
66.85,
66.9,
66.95,
67,
67.05,
67.1,
67.17,
67.2,
67.27,
67.33,
67.37,
67.4,
67.43,
67.45,
67.48,
67.5,
67.53,
67.57,
67.62,
67.68,
67.75,
67.82,
67.9,
68,
68.1,
68.18,
68.23,
68.25,
68.27,
68.27,
68.27,
68.27,
68.28,
68.3,
68.33,
68.37,
68.38,
68.38,
68.38,
68.38,
68.38,
68.37,
68.35,
68.33,
68.33,
68.33,
68.35,
68.25,
68.27,
68.28,
68.28,
68.28,
68.27,
68.25,
68.23,
68.22,
68.2,
68.18,
68.17,
68.15,
68.13,
68.12,
68.1,
68.08,
68.07,
68.08,
68.1,
68.13,
68.15,
68.17,
68.18,
68.22,
68.23,
68.27,
68.28,
68.3,
68.3,
68.3,
68.28,
68.27,
68.25,
68.23,
68.22,
68.18,
68.13,
68.1,
68.08,
68.07,
68.05,
68.02,
67.98,
67.95,
67.9,
67.87,
67.83,
67.82,
67.8,
67.82,
67.82,
67.83,
67.85,
67.87,
67.9,
67.93,
67.95,
67.97,
67.97,
67.98,
68.02,
68.05,
68.1,
68.15,
68.23,
68.32,
68.42,
68.53,
68.65,
68.77,
68.87,
68.97,
69.08,
69.2,
69.33,
69.47,
69.6,
69.72,
69.82,
69.9,
69.97,
70.02,
70.08,
70.13,
70.2,
70.28,
70.38,
70.52,
70.65,
70.78,
70.9,
71.02,
71.12,
71.2,
71.28,
71.35,
71.43,
71.53,
71.65,
71.78,
71.92,
72.05,
72.18,
72.32,
72.43,
72.53,
72.65,
72.75,
72.87,
72.97,
73.08,
73.18,
73.28,
73.38,
73.47,
73.75,
74.02,
74.28,
74.48,
74.6,
74.63,
74.65,
74.67,
74.68,
74.68,
74.7,
74.75,
74.78,
74.82,
74.85,
74.88,
74.93,
74.98,
75.05,
75.08,
75.13,
75.22,
75.33,
75.47,
75.62,
75.8,
76,
76.17,
76.33,
76.47,
76.57,
76.65,
76.7,
76.73,
76.73,
76.72,
76.7,
76.72,
76.77,
76.85,
76.9,
76.97,
76.98,
77,
77.02,
76.98,
77.02,
77.05,
77.12,
77.17,
77.22,
77.25,
77.28,
77.3,
77.32,
77.35,
77.4,
77.48,
77.62,
77.73,
77.67,
77.63,
77.58,
77.58,
77.65,
77.68,
77.73,
77.8,
77.85,
77.9,
77.92,
77.9,
77.87,
77.8,
77.72,
77.58,
77.43,
77.27,
77.08,
76.92,
76.75,
76.53,
76.28,
76,
75.7,
75.37,
75.03,
74.72,
74.38,
74.08,
73.8,
73.5,
73.22,
72.93,
72.68,
72.45,
72.23,
72,
71.72,
71.38,
71.08,
70.77,
70.48,
70.2,
69.92,
69.68,
69.38,
69.1,
68.88,
68.73,
68.6,
68.48,
68.37,
68.25,
68.1,
67.92,
67.72,
67.38,
67.05,
66.72,
66.38,
66.07,
65.78,
65.53,
65.32,
65.23,
65.15,
65.05,
64.97,
64.87,
64.78,
64.68,
64.58,
64.5,
64.43,
64.42,
64.42,
64.45,
64.45,
64.45,
64.43,
64.43,
64.45,
64.5,
64.57,
64.65,
64.75,
64.87,
64.98,
65.08,
65.15,
65.2,
65.28,
65.37,
65.43,
65.52,
65.57,
65.6,
65.68,
65.82,
66,
66.17,
66.33,
66.5,
66.67,
66.88,
67.03,
67.22,
67.3,
67.37,
67.42,
67.45,
67.48,
67.57,
67.72,
67.83,
67.93,
68.13,
68.27,
68.45,
68.6,
68.72,
68.82,
68.92,
69,
69.05,
69.17,
69.27,
69.38,
69.52,
69.65,
69.75,
69.78,
69.92,
70.02,
70.12,
70.17,
70.2,
70.27,
70.35,
70.43,
70.5,
70.52,
70.57,
70.62,
70.48,
70.45,
70.45,
70.42,
70.35,
70.47,
70.73,
70.97,
71.22,
71.47,
71.72,
71.97,
72.28,
72.6,
73.05,
73.47,
73.9,
74.37,
74.82,
75.22,
75.63,
76.23,
76.83,
77.45,
78.28,
79.12,
79.95,
80.87,
81.73,
82.55,
83.42,
84.32,
85.12,
85.75,
86.77,
87.8,
88.8,
89.73,
90.35,
90.97,
91.58,
92.23,
92.82,
93.33,
93.85,
94.35,
94.88,
95.37,
95.77,
96.22,
96.62,
97.08,
97.52,
97.97,
98.33,
98.82,
98.73,
98.68,
98.58,
98.48,
98.57,
98.52,
98.42,
98.35,
98.32,
98.23,
98,
97.72,
97.43,
97.17,
96.9,
96.67,
96.38,
96.08,
95.63,
95.18,
94.75,
94.28,
93.83,
93.45,
93,
92.47,
91.87,
91.25,
90.38,
89.53,
88.68,
87.75,
86.82,
85.92,
84.98,
84.03,
83.2,
82.53,
81.45,
80.37,
79.32,
78.33,
77.65,
76.98,
76.32,
75.55,
74.87,
74.27,
73.73,
73.22,
72.75,
72.42,
72.1,
71.8,
71.6,
71.38,
71.2,
70.88,
70.63,
70.25,
70.43,
70.72,
70.93,
71.03,
71.1,
71.2,
71.27,
71.48,
71.7,
71.83,
72.02,
72.27,
72.55,
72.72,
72.9,
73.08,
73.27,
73.43,
73.55,
73.67,
73.73,
73.78,
73.83,
73.83,
73.82,
73.78,
73.78,
73.8,
73.83,
73.85,
73.87,
73.88,
73.92,
73.93,
73.97,
74,
74.03,
74.08,
74.15,
74.22,
74.27,
74.32,
74.35,
74.35,
74.35,
74.35,
74.37,
74.32,
74.23,
74.13,
73.9,
73.57,
73.23,
72.88,
72.62,
72.35,
72.08,
71.95,
71.85,
71.8,
71.78,
71.67,
71.58,
71.63,
71.72,
71.82,
71.93,
71.98,
72.07,
72.15,
72.25,
72.28,
72.27,
72.37,
72.45,
72.55,
72.62,
72.68,
72.78,
72.88,
73.02,
73.08,
73.15,
73.27,
73.42,
73.57,
73.7,
73.82,
73.92,
74.03,
74.17,
74.28,
74.37,
74.43,
74.47,
74.48,
74.62,
74.75,
74.83,
74.95,
75.03,
75.05,
75.12,
75.22,
75.35,
75.42,
75.48,
75.58,
75.65,
75.73,
75.9,
76.12,
76.33,
76.55,
76.62,
76.68,
76.73,
76.8,
76.83,
76.83,
76.82,
76.8,
76.82,
76.8,
76.78,
76.73,
76.72,
76.63,
76.58,
76.53,
76.45,
76.42,
76.38,
76.32,
76.25,
76.13,
76.07,
76,
75.93,
75.87,
75.78,
75.78,
75.78,
75.77,
75.73,
75.7,
75.68,
75.65,
75.63,
75.6,
75.55,
75.53,
75.48,
75.47,
75.53,
75.62,
75.57,
75.5,
75.52,
75.47,
75.43,
75.47,
75.47,
75.43,
75.38,
75.4,
75.33,
75.27,
75.22,
75.15,
75.03,
74.95,
74.85,
74.72,
74.6,
74.4,
74.2,
73.97,
73.75,
73.53,
73.48,
73.53,
73.57,
73.62,
73.55,
73.5,
73.43,
73.35,
73.18,
72.98,
72.77,
72.53,
72.3,
72.1,
71.9,
71.7,
71.48,
71.28,
71.08,
70.9,
70.73,
70.58,
70.45,
70.32,
70.18,
70.05,
69.88,
69.72,
69.55,
69.38,
69.22,
69.03,
68.88,
68.72,
68.5,
68.3,
68.2,
68.13,
68,
67.9,
67.83,
67.77,
67.7,
67.67,
67.62,
67.58,
67.62,
67.67,
67.78,
67.83,
67.95,
68.08,
68.2,
68.18,
68.15,
68.2,
68.23,
68.25,
68.25,
68.25,
68.05,
67.7,
67.38,
67.07,
66.88,
66.7,
66.52,
66.25,
66.42,
66.58,
66.65,
66.72,
66.8,
66.88,
67,
67.12,
67.23,
67.37,
67.5,
67.63,
67.77,
67.88,
68.02,
68.1,
68.18,
68.27,
68.37,
68.47,
68.57,
68.68,
68.8,
68.92,
69.03,
69.15,
69.25,
69.33,
69.32,
69.28,
69.27,
69.28,
69.32,
69.37,
69.43,
69.48,
69.53,
69.57,
69.6,
69.62,
69.53,
69.55,
69.55,
69.53,
69.52,
69.63,
69.75,
69.87,
69.98,
70.13,
70.28,
70.47,
70.7,
70.98,
71.25,
71.53,
71.8,
72.05,
72.3,
72.67,
72.62,
72.6,
72.68,
72.8,
72.92,
73.03,
73.15,
73.28,
73.42,
73.53,
73.65,
73.83,
74,
74.18,
74.32,
74.6,
74.78,
74.87,
74.9,
74.95,
75,
75.05,
75.1,
75.15,
75.22,
75.32,
75.45,
75.63,
75.82,
76,
76.18,
76.35,
76.5,
76.58,
76.67,
76.82,
76.85,
76.85,
76.87,
76.93,
77.02,
77.13,
77.25,
77.28,
77.35,
77.47,
77.6,
77.72,
77.87,
78,
78.13,
78.23,
78.3,
78.35,
78.38,
78.37,
78.32,
78.25,
78.15,
78.02,
77.88,
77.73,
77.6,
77.45,
77.3,
77.13,
76.93,
76.72,
76.48,
76.23,
75.98,
75.65,
75.33,
75,
74.68,
74.27,
73.95,
73.73,
73.57,
73.4,
73.27,
73.12,
72.97,
72.83,
72.68,
72.5,
72.3,
72.03,
71.75,
71.47,
71.17,
70.85,
70.53,
