HR,TIMESTAMP
53,1638066229
70.5,
70.33,
75.25,
79.4,
75.83,
74.71,
73.75,
72.89,
72.4,
71.91,
71.42,
71.54,
71.5,
71.13,
70.81,
71.53,
72,
72.53,
72.9,
73.38,
73.68,
73.96,
74.12,
74.24,
74.27,
74.52,
75.14,
75.72,
76.27,
76.84,
77.34,
77.79,
78.18,
78.51,
78.81,
79.05,
79.32,
79.56,
79.82,
80.02,
80.38,
80.77,
81.18,
81.58,
81.98,
82.36,
82.71,
83.04,
83.38,
83.69,
83.98,
84.28,
84.63,
85,
85.34,
85.68,
86,
86.31,
86.62,
87.5,
87.7,
88.22,
88.42,
88.55,
89.28,
89.88,
90.52,
91.17,
91.75,
92.37,
92.93,
93.37,
93.7,
94.12,
94.55,
94.7,
94.9,
95.05,
95.2,
95.28,
95.4,
95.52,
95.68,
95.87,
96.08,
96.23,
96.2,
96.17,
96.15,
96.08,
96.03,
96,
95.98,
95.95,
95.95,
95.97,
95.95,
95.93,
95.92,
95.92,
95.78,
95.62,
95.42,
95.2,
94.97,
94.72,
94.48,
94.25,
93.98,
93.73,
93.47,
93.18,
92.85,
92.47,
92.1,
91.72,
91.35,
90.98,
90.6,
90.2,
89.92,
89.6,
89.25,
88.88,
88.55,
88.2,
87.83,
87.45,
87.1,
86.75,
86.45,
86.17,
86,
85.83,
85.63,
85.43,
85.22,
84.97,
84.75,
84.55,
84.37,
84.2,
84.08,
84,
83.93,
83.85,
83.78,
83.73,
83.63,
83.5,
83.37,
83.23,
83.08,
82.97,
82.82,
82.58,
82.37,
82.22,
81.98,
81.78,
81.6,
81.42,
81.2,
81,
80.8,
80.57,
80.33,
80.08,
79.78,
79.52,
79.25,
78.98,
79.07,
79.13,
79.27,
79.4,
79.42,
79.45,
79.47,
79.42,
79.35,
79.3,
79.3,
79.17,
79.08,
79,
78.88,
78.8,
78.7,
78.45,
78.28,
78.12,
77.98,
77.85,
77.77,
77.7,
77.65,
77.72,
77.73,
77.75,
77.75,
77.72,
77.62,
77.5,
77.48,
77.43,
77.37,
77.23,
77.15,
77.15,
77.18,
77.22,
77.28,
77.37,
77.6,
77.92,
78.23,
78.52,
78.88,
79.23,
79.58,
79.93,
80.28,
80.6,
80.88,
81.2,
81.57,
81.93,
82.37,
82.77,
83.22,
83.67,
83.78,
83.93,
84.05,
84.18,
84.47,
84.78,
85.15,
85.58,
86.07,
86.65,
87.15,
87.8,
88.37,
88.92,
89.45,
89.98,
90.85,
91.82,
92.7,
93.52,
94.25,
94.95,
95.67,
96.37,
97.08,
97.43,
97.83,
98.22,
98.5,
98.82,
99.15,
99.33,
99.38,
99.45,
99.5,
99.6,
99.65,
99.6,
99.53,
99.45,
99.22,
98.93,
98.48,
98.43,
98.43,
98.4,
98.35,
98.32,
98.33,
98.28,
98.38,
98.47,
98.55,
98.65,
98.67,
98.6,
98.57,
98.53,
98.47,
98.42,
98.33,
98.25,
98.15,
98.02,
97.8,
97.47,
97.13,
96.8,
96.42,
95.95,
95.53,
95.07,
94.6,
94.15,
93.75,
93.3,
92.57,
91.88,
91.25,
90.67,
90.17,
89.7,
89.2,
88.72,
88.22,
88,
87.83,
87.65,
87.58,
87.48,
87.37,
87.38,
87.42,
87.42,
87.4,
87.43,
87.48,
87.58,
87.67,
87.77,
88.03,
88.35,
88.7,
88.65,
88.52,
88.43,
88.28,
88.12,
87.88,
87.68,
87.42,
87.22,
87.07,
86.93,
86.83,
86.83,
86.8,
86.78,
86.75,
86.7,
86.63,
86.57,
86.37,
86.15,
85.98,
85.92,
85.82,
85.75,
85.65,
85.55,
85.53,
85.55,
85.6,
85.63,
85.68,
85.8,
85.92,
86.02,
86.08,
86.17,
86.25,
86.23,
86.27,
86.28,
86.3,
86.33,
86.2,
86.08,
85.97,
85.88,
85.83,
85.75,
85.67,
85.57,
85.5,
85.4,
85.32,
85.25,
85.18,
85.13,
85.15,
85.15,
85.13,
85.15,
85.22,
85.2,
85.23,
85.3,
85.35,
85.4,
85.4,
85.33,
85.25,
85.17,
85.07,
84.87,
84.67,
84.45,
84.25,
84.1,
83.98,
83.88,
83.93,
83.98,
84.12,
84.25,
84.4,
84.47,
84.6,
84.75,
84.83,
85.02,
85.17,
85.3,
85.52,
85.7,
85.87,
86.03,
86.22,
86.42,
86.57,
86.8,
87.08,
87.37,
87.65,
87.92,
88.3,
88.7,
89.08,
89.45,
89.78,
90.13,
90.47,
90.82,
